# R [Mpc]	DeltaSigma_t [M_sun / pc^2]	DeltaSigma_t_err [M_sun / pc^2]	DeltaSigma_x [M_sun / pc^2]	DeltaSigma_x_err [M_sun / pc^2]
6.708299780099505338e-02 1.625295166976134453e+02 3.155221622332944165e+01 -2.608979406340612073e+01 2.640750125168976936e+01
1.121372690779458697e-01 8.918026825420213299e+01 1.731946682757795131e+01 1.516431453983862632e+01 1.925983810801706042e+01
1.863116017707170113e-01 5.282214026732835777e+01 9.763854482707643001e+00 1.202752891259673262e+01 1.090788707538469637e+01
3.095182716144307400e-01 3.800273113680184167e+01 6.422552480278524989e+00 2.136293582513082878e+00 6.039273981920985079e+00
5.142378043203925664e-01 2.225755645151129158e+01 3.350678367961963389e+00 1.359878068514399185e+00 3.793944478182562641e+00
8.544991665484111820e-01 1.406935855594242035e+01 2.424010743211059804e+00 3.150565510108549905e+00 2.330392588408107812e+00
1.418717880956838373e+00 7.601318396518960796e+00 1.281041432866058649e+00 -6.103631692983423340e-01 1.335330111311693990e+00
2.355151015765031275e+00 3.149745766863663921e+00 7.897427427870410410e-01 -7.472409857695151425e-01 8.673476960984719542e-01
3.908414989004217244e+00 1.819621720589125191e+00 4.534666108502256043e-01 -2.792191541516362285e-01 4.577645212546280762e-01
6.487749425451585061e+00 1.177553092219551401e+00 3.592729290016441479e-01 3.184716130741289258e-02 3.158448454806334627e-01
1.076749613696607355e+01 9.776446723600877853e-01 2.251670361878489734e-01 4.462841311281486312e-01 1.686946362816717504e-01
1.786571757229985380e+01 8.011430195378999031e-01 1.614839041109931705e-01 1.117003485791456252e-01 1.380857925976087530e-01
2.962645697275472401e+01 5.718210790694299162e-01 1.400744022445067904e-01 1.102647188654487694e-02 1.176742775422022907e-01
4.910169956225152532e+01 2.447210538091565135e-01 1.160129894697651126e-01 8.239943716005410090e-02 1.009538904597294395e-01
8.122539167862657905e+01 1.753461533523742177e-01 1.122665082315425639e-01 2.088130627342993026e-02 6.343898267512046441e-02
